R2[0]	R2[1]	R2[2]	R2[3]	
0.0511841	0.140868	0.117447	0.0886966	
0.0648309	0.139064	0.0770181	0.113666	
0.0895983	0.145089	0.0819781	0.125658	
0.18658	0.169664	0.0942077	0.116343	
0.0971892	0.121212	0.0974317	0.0960708	
0.0440749	0.103564	0.0746243	0.100101	
0.094996	0.169835	0.0593971	0.0777243	
0.0654461	0.155988	0.091491	0.10046	
0.0787186	0.138767	0.0686238	0.0995299	
0.0593312	0.162651	0.114472	0.105129	
0.0629153	0.182594	0.0789778	0.102058	
0.082652	0.11558	0.151545	0.0978395	
0.0665575	0.161758	0.071017	0.149432	
0.0632189	0.158186	0.0782263	0.0656564	
0.04272	0.167874	0.0494942	0.0982739	
0.0848644	0.107413	0.0589574	0.148157	
0.0340849	0.174634	0.0673872	0.0709102	
0.0687296	0.141533	0.0857096	0.0913134	
0.0488427	0.129388	0.0935115	0.113387	
0.0622912	0.122984	0.056455	0.184476	
0.104527	0.200298	0.0967068	0.0976973	
0.0498717	0.195402	0.0734371	0.155016	
0.0929266	0.157721	0.0919381	0.118563	
0.0457263	0.129092	0.0966273	0.13884	
0.066614	0.115911	0.07325	0.11109	
0.0427792	0.11248	0.0830212	0.0709102	
0.05457	0.139354	0.0675976	0.127827	
0.0617876	0.106061	0.0805892	0.120473	
0.0434933	0.136592	0.106152	0.15872	
0.0945191	0.162391	0.0436812	0.09249	
0.0623746	0.107513	0.0500055	0.099126	
0.0658877	0.121128	0.0814642	0.11164	
0.0704606	0.127769	0.0760212	0.0876119	
0.0603662	0.120406	0.0780919	0.0795426	
0.0967261	0.178448	0.0899637	0.118068	
0.055442	0.140868	0.0553277	0.111629	
0.0629117	0.145121	0.0635397	0.110542	
0.0551694	0.0909091	0.0806485	0.126374	
0.0732898	0.13323	0.0677503	0.145151	
0.0553187	0.222206	0.0764569	0.0760963	
0.0500993	0.115911	0.0455789	0.0739213	
0.0496754	0.163424	0.0853216	0.0816287	
0.0756972	0.142557	0.115033	0.0996505	
0.0579374	0.102005	0.0616268	0.10301	
0.0743639	0.090808	0.0574321	0.0758741	
0.0724424	0.202487	0.0516409	0.128454	
0.0762952	0.195402	0.0475635	0.0943532	
0.0585343	0.106253	0.0540451	0.136017	
0.0715891	0.189955	0.0624418	0.127223	
0.0532346	0.150952	0.0685543	0.113142	
0.0496919	0.170587	0.0809236	0.129911	
0.0507787	0.143552	0.0942677	0.101531	
0.0881124	0.141356	0.069955	0.109502	
0.0645217	0.136592	0.0811035	0.102349	
0.0775092	0.099591	0.0706331	0.05914	
0.0787186	0.213007	0.0664024	0.089318	
0.0424736	0.114552	0.0620512	0.0865859	
0.046093	0.182272	0.0817398	0.1156	
0.0954146	0.149034	0.0572918	0.126945	
0.0585601	0.134389	0.0420606	0.074022	
0.0615765	0.124898	0.115063	0.084908	
0.0493985	0.159804	0.0584822	0.104372	
0.0719268	0.109096	0.0603878	0.0858361	
0.0642539	0.13323	0.0712278	0.0518526	
0.0849221	0.160428	0.0793675	0.094512	
0.0835386	0.158186	0.0697349	0.117276	
0.0546221	0.1131	0.0526383	0.137322	
0.0716485	0.243954	0.122555	0.127768	
0.0737726	0.175444	0.0472691	0.107114	
0.061398	0.108194	0.0427967	0.14222	
0.0498355	0.144783	0.103897	0.100919	
0.100278	0.0884747	0.0951608	0.0978983	
0.0577344	0.229166	0.0564583	0.066284	
0.0405657	0.154664	0.114212	0.0813069	
0.0986062	0.191967	0.0479512	0.0810893	
0.0778525	0.158653	0.0703324	0.15872	
0.0738877	0.112194	0.106834	0.0629716	
0.0958068	0.118858	0.0608152	0.130619	
0.0712224	0.17724	0.0616676	0.0824878	
0.0640821	0.210239	0.0857442	0.0610891	
0.0640294	0.103923	0.0904846	0.103368	
0.101108	0.155877	0.0748867	0.127932	
0.0917445	0.194341	0.0499053	0.111479	
0.0853777	0.142134	0.0652951	0.123342	
0.0586688	0.135839	0.0603882	0.0665113	
0.074506	0.165878	0.065067	0.0908741	
0.0695048	0.0856444	0.0743409	0.199042	
0.0616032	0.129139	0.0513916	0.0884006	
0.0692427	0.188294	0.0504	0.104911	
0.100291	0.221191	0.0639249	0.0840618	
0.0740585	0.104276	0.0624013	0.0791773	
0.0663226	0.149034	0.060511	0.103574	
0.087803	0.144885	0.109662	0.0966756	
0.0766137	0.102275	0.0479188	0.107208	
0.0982823	0.109469	0.0739262	0.0878564	
0.0954693	0.141792	0.0701178	0.0618001	
0.0688085	0.0952499	0.08274	0.0963928	
0.0870747	0.198363	0.0856768	0.126598	
0.0742148	0.141356	0.0497745	0.141882	
0.057372	0.141129	0.0466097	0.099782	
0.0870681	0.160062	0.0491872	0.0546714	
0.0613129	0.093553	0.0721752	0.155336	
0.0748439	0.12365	0.0507077	0.120228	
0.0900792	0.24295	0.060158	0.102953	
0.0946868	0.225395	0.049258	0.108019	
0.0662994	0.13969	0.052588	0.157065	
0.0674936	0.192633	0.0835762	0.0961297	
0.0509081	0.167156	0.0503162	0.0835095	
0.0769704	0.109655	0.0925116	0.102541	
0.0474331	0.133643	0.0955094	0.0957654	
0.10434	0.110059	0.0953645	0.0835749	
0.0749339	0.140868	0.0561422	0.123564	
0.0898666	0.118858	0.0519536	0.108665	
0.0497749	0.118445	0.0632534	0.111776	
0.0988453	0.194341	0.0523582	0.15872	
0.0609043	0.13167	0.109722	0.122434	
0.089342	0.129844	0.148556	0.147921	
0.0758417	0.172775	0.0607426	0.156754	
0.0751309	0.0931541	0.0787513	0.104102	
0.068766	0.13727	0.116394	0.143699	
0.0655483	0.191376	0.0891479	0.0710487	
0.0937087	0.215736	0.091346	0.0853849	
0.048724	0.234922	0.0494933	0.0992031	
0.094036	0.202285	0.110538	0.0963237	
0.0807265	0.239939	0.0579934	0.111629	
0.0498673	0.216492	0.0739842	0.0694887	
0.0612676	0.145416	0.0853912	0.121594	
0.0711918	0.120406	0.0676692	0.0911828	
0.0703857	0.11628	0.0355767	0.0897616	
0.080941	0.215736	0.0684371	0.11134	
0.0440924	0.215154	0.0717931	0.0955734	
0.0648838	0.149225	0.0725795	0.0942922	
0.0545101	0.116932	0.0543673	0.0844965	
0.0908316	0.0922682	0.0684761	0.140615	
0.0694735	0.0848485	0.0567758	0.106178	
0.0797	0.146868	0.0635638	0.137734	
0.0465343	0.0615913	0.0807124	0.122856	
0.0645246	0.114552	0.0529071	0.131074	
0.047847	0.11964	0.0387264	0.117143	
0.0697401	0.126295	0.0563545	0.0757222	
0.0680699	0.115351	0.0685087	0.104168	
0.069139	0.155595	0.110168	0.0871392	
0.0941568	0.121921	0.0467382	0.141678	
0.0755719	0.108307	0.0674107	0.107837	
0.0552798	0.137496	0.0473242	0.0881407	
0.0875929	0.116122	0.0944263	0.0987537	
0.0756236	0.1446	0.06955	0.117655	
0.0639269	0.180093	0.0447033	0.108986	
0.0606153	0.135794	0.0759406	0.0970007	
0.100402	0.157721	0.0595017	0.135203	
0.045492	0.10182	0.060739	0.117292	
0.0825976	0.122022	0.0479655	0.158363	
0.0682954	0.163074	0.0532748	0.0985282	
0.118599	0.146266	0.0742729	0.143699	
0.0593807	0.108801	0.0580329	0.122217	
0.0475428	0.124468	0.0647407	0.110446	
0.0563601	0.162013	0.0656832	0.0941762	
0.0757219	0.156956	0.0658645	0.133163	
0.0868917	0.157721	0.0595089	0.101679	
0.0591542	0.115633	0.0490268	0.133256	
0.123773	0.134787	0.0641058	0.145609	
0.114439	0.121967	0.0608018	0.0967752	
0.0951149	0.16378	0.0531185	0.085357	
0.0691569	0.103095	0.0547649	0.0867245	
0.0748026	0.194341	0.0454381	0.0742751	
0.0739631	0.147834	0.0597809	0.085696	
0.0797985	0.178491	0.108966	0.111917	
0.0591047	0.106579	0.0520577	0.173355	
0.0989529	0.111921	0.0677053	0.0872815	
0.0576879	0.160428	0.0529225	0.107836	
0.0616759	0.171895	0.106023	0.14307	
0.065192	0.127849	0.070654	0.0829847	
0.0575195	0.142514	0.066311	0.137706	
0.082958	0.13323	0.0801744	0.0799796	
