ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
4.24828	3.44444	7.98188	3.69697	
3.27356	3.06667	9.18841	4.27273	
3.73563	4.86667	8.77536	5.28788	
3.27816	3.86667	5.55797	5.57576	
2.71264	3.8	6.19203	4.54545	
3.86207	4	5.49638	3.74242	
2.64598	2.62222	8.69203	6.12121	
3.32184	3	6.77899	3.48485	
4.10575	5.51111	6.99638	4.31818	
4.21609	2.84444	6.4058	4.19697	
2.91494	2.86667	6.77174	6.18182	
3.14713	2.2	9.27174	4.74242	
2.31724	4.11111	6.05797	3.56061	
3.38161	3.44444	10.0471	4.19697	
2.37241	3.66667	10.1594	4.25758	
4.57931	3.02222	10.0181	3.93939	
3.52414	3.93333	6.43116	3.80303	
4.07586	3.24444	6.5942	4.72727	
2.34253	2.71111	7.19565	4.5303	
4.29425	4.6	6.71739	6.07576	
2.91034	3.06667	11.3225	5.31818	
4.13563	3.2	14.6159	5.69697	
3.5908	4.28889	6.9529	6.10606	
3.46207	3	9.06159	4.16667	
3.32644	3.6	11.6667	5.71212	
3.05977	2.35556	9.76812	4.04545	
4.1977	2.35556	9.94565	3.93939	
2.54483	5.33333	6.27174	3.48485	
4.25747	4.77778	11.5761	4.4697	
3.53103	5.44444	7.01449	4.30303	
2.28276	2.53333	8.10145	3.56061	
2.92184	3.71111	9.0471	4.74242	
3.43448	3.31111	7.35507	3.65152	
3.31954	3.24444	5.24638	3.69697	
3.69195	2.35556	7.70652	4.28788	
2.14483	4.97778	8.17029	4.06061	
3.08966	3.93333	8.22826	3.65152	
2.67816	3.26667	6.88043	4.36364	
4.03908	2.97778	7.74638	5.5303	
3.12644	2.53333	6.69928	4.62121	
3.69885	3.8	7.78986	5.69697	
2.22529	2.62222	9.05797	5.06061	
3.07126	3.13333	6.49275	5.28788	
2.48276	3.08889	5.73551	5.12121	
3.18851	3.4	6.9529	3.62121	
3.28736	3.4	7.10145	4.42424	
3.27356	3.95556	11.5797	4.33333	
4.17931	2.91111	5.94928	5.71212	
3.46667	2.95556	7.51087	4.86364	
2.49195	3.71111	6.31159	2.9697	
4.06207	2.35556	9.97826	4.69697	
3.48276	3.8	8.03623	4.95455	
2.92414	4.53333	6.17391	4.60606	
2.95402	3.62222	9.03623	4.57576	
4.32414	4.2	7.18116	5.68182	
1.91264	2.46667	5.05797	5.12121	
3.7908	3.35556	6.52899	6.22727	
3.23678	4.13333	6.02899	4.33333	
5.01839	3.68889	8.05435	5.71212	
2.82529	3.42222	7.38043	5.21212	
2.28276	3.42222	7.87319	4.68182	
2.64828	4.04444	8.11957	4.31818	
3.34483	4.11111	7.90217	5.27273	
3.91264	4.2	7.06159	4.62121	
2.88736	3.22222	6.1558	5.28788	
5.26207	3.64444	7.56522	5.87879	
4.93563	3.2	7.41304	4.42424	
4.16092	4.22222	6.34783	3.75758	
3.11494	3.04444	6.93116	3.83333	
3.44828	4.6	5.92029	3.60606	
3.42299	2.66667	6.95652	4.21212	
3.68736	4.24444	11.1341	4.54545	
2.71724	2.86667	6.91667	6.48485	
4.46667	2.82222	7.71014	3.86364	
2.94713	3.88889	6.55435	4.75758	
2.94483	2.88889	11.3116	5.74242	
2.66667	3.33333	8.07609	3.77273	
2.74943	3.68889	7.97464	5.37879	
3.68966	3.53333	9.31884	3.92424	
3.83218	3.2	7.76087	3.98485	
3.34713	3.13333	8.01449	4.22727	
4.82069	2.2	7.47826	4.16667	
2.7908	2.73333	10.1377	5.12121	
3.17241	4.68889	8.87681	5.21212	
3.97471	3.64444	7.90217	5.48485	
3.12644	2.55556	7.76449	4.25758	
4.43678	3.35556	9.41667	4.63636	
3.44828	2.77778	8.52536	4.36364	
3.57701	2.95556	7.06159	4.39394	
2.85517	2.86667	9.01449	4.34848	
4.45057	3.22222	10.221	4.13636	
3.86207	3.2	8.91667	5.51515	
2.94943	3.28889	6.87319	3.56061	
4.67126	4.04444	10.1522	4.83333	
3.76782	2.51111	8.23913	4.90909	
3.31034	3.28889	6.67391	4.43939	
4.18621	2.2	10.2971	3.9697	
3.36552	4.15556	9.10507	3.37879	
3.18621	3.13333	10.4239	4.51515	
2.50345	2.46667	9.83333	4.06061	
4.01149	2.86667	11.8333	3.83333	
2.33103	3.42222	6.6087	7.0303	
3.34713	3.95556	8.52536	5.59091	
4.65977	2.86667	7.44928	2.9697	
2.25747	3.46667	7.86232	4.5303	
2.12184	3.24444	11.4094	4.28788	
3.57011	4.13333	12.1812	4.89394	
4.85517	4.48889	6.56884	4.19697	
2.87126	4.08889	7.14493	4.92424	
3.57241	3.26667	9.98551	4.24242	
1.86437	2.2	5.94203	5.27273	
3.30345	2.77778	8.3442	6.68182	
3.92414	3.51111	6.69203	3.4697	
3.18851	3.24444	10.4167	4.28788	
2.14483	2.35556	13.1884	3.87879	
3.10805	3.04444	14.471	5.27273	
4.95172	3.91111	8.51449	2.9697	
4.08506	2.51111	9.7029	3.89394	
4.31264	2.68889	7.35507	3.24242	
2.49885	2.53333	7.83696	6.24242	
4.89195	3.08889	7.73188	4.9697	
2.5954	3.97778	9.41304	4.13636	
3.91954	3.57778	6.99638	4.4697	
3.90805	2.91111	6.76812	6.25758	
3.30805	2.55556	6.77536	5.98485	
3.04828	2.84444	6.91304	4.92424	
2.46437	3.24444	11.8442	6.42424	
3.42069	4.22222	10.2319	4.12121	
4.87126	3.57778	11.9601	3.93939	
2.26667	3.71111	8.33696	4.34848	
2.3908	4.88889	8.11232	3.83333	
2.81609	3.02222	7.78261	5.34848	
3.01379	4.53333	8.38406	4.57576	
3.57471	2.82222	7.24638	3.9697	
4.05517	2.77778	11.1703	5.13636	
3.34023	3.62222	7.82609	4	
3.44138	2.88889	6.59783	4.5	
