H[0]	H[1]	H[2]	H[3]	H[4]	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	-1.51515	-4.39394	
0	0	0.151515	0	0	
0	0	0.151515	0.151515	0	
0	0	0	0	0	
0	0	-17.4242	-15.4545	-25.9091	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.242424	0	0	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0	0.242424	0	0	
0	0	0	-10.9091	-14.3939	
0	0	0	0	0	
0.151515	0	0	0	0	
0.30303	0	0	0	0.151515	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	-0.727273	0.969697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	-8.72727	-4.09091	-4.21212	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	-2.42424	-43.6364	-5.33333	
0	0	0	0.151515	0	
0.151515	0	0	0	0	
0	0	-7.12121	-3.0303	-10.4545	
