ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
14.3517	14.9556	58.1304	5.40909	
3.16782	5.13333	46.1377	7.10606	
17.6437	0.222222	52.4348	6.31818	
18.1632	0.555556	30.6739	4.37879	
5	18.3333	40.1232	10.5758	
10.9011	11.4667	36.6957	8.78788	
7.47586	1.26667	43.8913	8.01515	
10.7057	2.48889	39.6812	1.39394	
11.1632	17.2667	24.1014	8.4697	
3.26437	4.37778	31.5652	7	
9.92414	3.4	52.1232	10.197	
13.5977	2.6	29.2138	8.25758	
11.3241	2	26.8732	6.93939	
16.4322	3.13333	34.8949	14.7727	
8.26437	0.6	30.1703	6.62121	
2.35862	5.04444	27.5616	8.19697	
2.42529	1.35556	33.7319	15.5455	
9.05517	3.68889	33.0725	8.75758	
8.07356	6.86667	25.3551	11.0152	
14.8115	0.666667	44.4348	9	
7.5977	4.48889	34.7899	7.4697	
1.41379	4.26667	29.2101	4.33333	
3.81379	12.7778	33.8514	7.68182	
7.71954	5.37778	47.1232	12.6061	
6.23218	3.73333	26.1775	10.9091	
9.5954	2.8	27.4638	7.22727	
15.1218	6.02222	31.4094	7.68182	
5.66437	11.0444	26.7609	5.43939	
5.95862	8.62222	35.2971	8.66667	
9.31724	12.7556	19.4855	7.54545	
3.34713	12.5778	17.3768	11.8485	
6.87816	4.48889	51.0688	11.6061	
10.9632	3.95556	22.5399	6	
4.50115	3.64444	12.0942	7.59091	
4.03218	2.8	56.9022	6.69697	
9.16782	8.57778	31.337	4.16667	
12.5655	1.93333	27.4457	3.56061	
11.2023	6.02222	38.7283	6.78788	
10.9632	4.13333	34.221	7.0303	
11.269	3.24444	28.9891	12.5152	
11.4161	11.6667	31.8659	2.06061	
6.62529	2.2	66.6051	9.84848	
4.33103	2.91111	34.3587	9.93939	
27.2184	0.555556	31.7246	7.54545	
26.4	3.95556	36.5471	9.68182	
4.29655	4.68889	26.2138	12.5606	
5.05287	3.11111	38.779	6.19697	
12.7126	3.95556	35.1667	9.93939	
13.6437	1.08889	41.7862	4.22727	
4.55862	0.911111	44.8659	8.51515	
7.73793	9.2	23.6522	14.1364	
8.47586	11.2667	27.1304	8.72727	
16.2782	6.71111	44.4638	6.87879	
5.14483	6.86667	31.3188	3.93939	
10.5149	1.84444	40.8551	2.89394	
5.28736	2.88889	40.5942	13.803	
5.95632	0.933333	46.4891	12.5	
8.67126	2.24444	40.4384	5.21212	
8.25057	17.2	32.1957	0.939394	
13.3333	2.51111	47.5616	10.6818	
5.65057	2.84444	55.5254	15.803	
17.7839	2.35556	45.5362	11.9242	
6.29425	5.42222	53.1268	5.04545	
10.9264	0.333333	43.5181	8.09091	
7.49195	1.88889	36.2754	5.57576	
17.8897	6.62222	22.7283	14.2879	
8.78621	5.17778	37.4891	6.4697	
8.90575	6.75556	55.837	6.74242	
13.1563	8.53333	24.6232	9.43939	
3.90575	2.35556	35.192	2.93939	
2.84598	16.7111	37.3188	7.09091	
8.26437	8.37778	22.0254	8.51515	
7.3954	5.95556	34.4674	5.68182	
6.28506	10.7333	43.5036	4.56061	
12.5908	9.73333	22.0942	12.3333	
17.4667	6.64444	19.7391	4.72727	
7.26207	3.04444	37.5471	8.60606	
13.7793	10.9111	50.913	17.0758	
1.93333	2.8	39.9783	10.5909	
15.5379	6.53333	27.0797	4.39394	
7.50115	1.33333	27.3043	10.8182	
5.38391	0.466667	36.5507	15.1515	
7.54023	1.75556	43.1558	6.43939	
2.82989	3.73333	41.9855	14.0152	
9.47586	6.71111	23.5725	10.2879	
5.16322	1.68889	33.4601	9	
9.97931	2.24444	19.3333	8.98485	
13.1701	11.2	53.5471	5.07576	
8.30345	4.28889	41.6993	2.65152	
5.33103	5.93333	30.9638	7.74242	
11.9563	3.71111	23.8442	13.3788	
7.4023	4.48889	25.1268	10.2576	
10.7816	0.466667	28.3696	15.9242	
12.8023	6.24444	23.8841	8.28788	
3.08966	4.48889	43.0797	9.84848	
7.26207	5.46667	51.8333	12.9091	
8.0023	7.57778	31.558	10.7121	
8.78851	4.57778	12.9167	2.89394	
10.0414	2.2	56.0833	5.68182	
17.2966	3.91111	28.5471	9.78788	
9.69425	8.31111	27.3478	5.45455	
10.4989	8.73333	25.971	8.27273	
4.22299	2.95556	42.6123	6.43939	
11.2483	8.62222	32.7029	7.83333	
20.954	5.64444	11.192	5.72727	
3.16782	6.28889	49.2174	4.07576	
7.77011	10.7556	47.4094	11.3485	
2.51034	1.37778	19.2971	12.7121	
15.6897	3.6	50.0217	10.2727	
4.68966	1.17778	22.2862	14.5758	
8.9977	9.06667	24.2609	9	
6.67586	8.44444	46.8116	7.48485	
7.18391	2.71111	22.4529	8.09091	
20.9839	10.6222	27.4891	9.43939	
13.4736	35.5333	22.4601	12.3939	
10.4023	0.8	39.163	3.93939	
10.2207	0.0222222	41.8877	7	
13.8023	5.15556	31.2029	2.62121	
18.3609	1.04444	21.0036	9.62121	
13.0391	5.95556	33.2428	10.8182	
9.24598	5.08889	47.8007	10.0758	
10.5977	2.68889	46.6413	8.87879	
6.24598	4.11111	40.2609	5.74242	
8.22989	4.86667	22.7826	3.84848	
5.4069	3.93333	38.058	11.6364	
13.4782	3.26667	53.3696	12.3939	
12.8782	2.44444	36.7609	7.71212	
3.4	11.6222	61.2319	11.4394	
10.1517	2.77778	32.7319	2.36364	
3.32184	3.55556	48.692	14.3788	
9.31954	3.48889	50.1196	6.9697	
7.32184	5.13333	28.692	8.78788	
4.92184	2.91111	45.7138	5.22727	
0.802299	5.73333	45.8587	7.04545	
7.25057	2.73333	49.0471	9.86364	
6.62989	1.82222	27.808	4.39394	
19.4046	20.2889	38.0036	4	
11.0667	2.46667	22.9783	8.93939	
7.5977	2.04444	30.2101	8.48485	
18.7011	6.35556	36.4601	9.28788	
13.5609	4.26667	43.5978	8.5303	
4.29195	1.82222	43.1413	7.71212	
8.03678	0.822222	18.942	7.65152	
5.31724	2.42222	41.0362	11.1515	
8.21379	8.4	29.9275	7.43939	
17.892	6.22222	26.6341	11.4394	
14.4092	2.13333	33.7935	12.8485	
7.50575	2	30.9783	13.3636	
6.63218	5.02222	41.9891	4.68182	
16.4161	0.488889	23.9891	6.72727	
7.28506	1.66667	33.1449	13.6061	
16.3264	3.24444	51.1159	5.9697	
10.1977	5.26667	28.5942	6.42424	
14.7747	8.46667	33.2355	7.34848	
