FD[0]	FD[1]	FD[2]	FD[3]	
-0.110766	1.30876	0.0422452	-0.84346	
-0.70944	-1.27385	-1.73172	-0.116736	
0.510494	-1.19021	0.395607	-1.07499	
-0.92771	1.49855	-0.771006	-0.0114944	
-0.226705	0.107366	-0.329133	1.64962	
-0.302187	-1.19343	0.148415	-0.802382	
-0.714045	0.0964736	0.846914	0.291792	
-0.153889	0.081969	-0.856773	0.457324	
0.427163	0.970196	-0.421701	-1.29675	
-0.387725	0.103336	-0.436968	-0.84346	
0.318552	-2.108	0.149487	0.927014	
1.00196	0.759878	0.511869	-0.0118585	
0.258584	0.0964736	0.521488	0.790514	
-1.15081	-0.951177	0.470444	-2.11374	
1.29977	0.081969	0.748173	0.133508	
0.944486	0.0964736	-0.275421	0.588678	
1.15112	-1.95176	-0.380889	0.424645	
-1.275	0.521135	-0.453209	-0.0127042	
0.190359	1.353	-0.551319	0.119949	
-1.76243	-0.0943101	-0.385483	0.260967	
-0.141917	0.53864	-0.56844	-0.436277	
-1.00054	0.560981	0.324335	0.28841	
0.910319	0.100419	-0.183074	-0.523498	
0.242132	0.957954	0.879577	-0.232432	
0.190359	-0.302459	-1.3538	-1.49559	
1.14644	-0.46641	0.260589	-0.337189	
-0.0636814	0.807783	0.408753	-0.390172	
0.86248	-2.29712	-0.538844	-1.07349	
0.0660851	-0.0719613	0.00934315	0.831753	
-0.184003	0.764818	1.2225	1.08168	
0.808338	-0.151282	0.344517	-0.10362	
-1.11868	-0.213426	0.214379	-0.337189	
0.190359	0.508797	-0.196727	0.0836747	
-2.11398	-0.675841	-0.130951	0.0557881	
-0.888243	-0.42308	0.0208793	-0.436277	
1.13305	-1.73817	-0.36419	-0.149391	
-1.7209	-0.893175	0.0480788	-0.437956	
-1.28134	-1.39132	-0.494099	-0.675679	
-0.203326	-0.923937	-0.143961	-0.0650312	
-1.95941	-0.987834	0.465379	0.0987753	
-0.850339	-0.910647	-0.459994	-0.616816	
-0.296406	-1.36729	-0.250417	0.612099	
-0.278994	1.14179	-0.0143995	0.790514	
-0.725216	-0.151282	0.106343	-1.07499	
0.628933	-0.903311	1.32004	0.337765	
-1.7011	0.466809	-0.390557	-0.429035	
-0.714045	1.36393	0.353001	-0.205714	
-1.478	-0.903311	-0.0718307	-0.360754	
-0.167753	-0.108342	0.792939	-0.784743	
0.318552	0.807783	-0.252977	-0.378317	
-2.45605	-0.409914	0.136855	0.790514	
0.291112	-1.89819	-0.159198	-0.300485	
-0.250891	-0.903311	-0.353539	-0.675679	
0.153165	0.194812	0.73307	0.0446491	
-0.334526	-1.19021	-0.551806	0.370579	
0.977145	0.38001	-0.569509	-0.232432	
-1.11868	-0.374209	-0.168702	-0.7425	
-0.543237	1.89231	-0.390244	0.65532	
-0.472437	0.759878	-0.118636	-0.64814	
-0.153889	0.591552	0.724576	-0.498504	
0.733224	-0.42308	-0.101272	0.0631163	
-0.846575	0.103336	0.0965771	-0.0854937	
1.41757	-0.143902	-0.315559	-0.498504	
-1.35232	0.835873	0.295779	0.444209	
-0.548669	0.0964736	-0.411029	-1.07638	
0.579545	0.807783	0.402759	-0.548024	
-0.278994	-0.214561	0.86192	0.318855	
0.312962	-0.409914	-0.322581	0.516404	
-1.52726	-0.923937	-0.0357924	0.77836	
-0.980497	0.759878	-0.210398	-0.970106	
-0.579042	0.764818	-0.542746	-0.777039	
-2.31451	0.98926	-0.115415	0.429982	
1.55579	1.41268	0.165443	-0.277865	
-1.03873	-1.16517	-0.184869	0.445775	
-1.23198	-2.13518	-0.293503	-0.116736	
-0.796689	-1.05256	-1.24604	0.199312	
-0.167753	0.287307	1.45853	-0.0121408	
-0.798569	-2.25316	0.668284	-0.0125507	
-0.448711	-0.214561	0.950264	-0.0103146	
-1.5599	-1.10032	-0.389403	0.0836747	
0.949006	1.49802	0.316095	-0.436277	
