FF[0]	FF[1]	FF[2]	FF[3]	
0.436127	-0.66148	-0.210609	0.0825069	
-0.731838	0.171676	0.099528	-0.145163	
1.42243	-0.48438	-0.298287	-0.577117	
-1.24029	0.734978	0.240331	0.466025	
-0.785132	0.186822	-0.465892	-1.09447	
0.496033	1.21136	0.504272	-0.616107	
-0.18243	-0.126241	0.954834	0.539798	
0.502812	-0.391962	-0.393703	0.559869	
-1.85688	-0.950618	-0.185188	0.899032	
-1.02954	0.825989	-0.302566	-1.17792	
-0.632201	0.950854	-0.460978	-0.826519	
-2.38733	0.888734	-0.0897527	0.531993	
1.99683	1.18035	-0.0395358	-0.235032	
-1.0136	-1.46929	-0.0613702	0.569051	
-1.11351	-2.28148	-0.224233	-0.242513	
-0.784667	-1.21271	-1.25634	0.118364	
-0.24855	0.427778	1.56143	0.0857855	
-0.750459	-2.3942	0.785347	-0.126622	
-0.538767	-0.144276	0.689048	0.315863	
-1.75316	-1.51793	-0.39193	0.224394	
0.679601	2.02411	0.506302	-0.556035	
-1.15907	-1.67245	-0.0753442	-0.761451	
