thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
9.08711	5.65577	39.0971	7.94734	
10.6016	10.2511	44.1851	6.95392	
8.58227	4.24183	36.687	10.5965	
10.8541	2.12091	29.7245	7.6162	
10.3492	4.24183	37.7582	9.60304	
8.83469	12.7255	43.1139	9.2719	
8.83469	7.06972	42.0428	11.2587	
13.8831	4.9488	39.3649	5.96051	
14.3879	4.24183	31.599	6.29165	
11.1065	7.06972	37.2226	8.94076	
17.417	3.53486	31.8668	6.95392	
11.1065	4.59531	43.1139	4.63595	
9.08711	2.4744	36.1514	10.9276	
10.3492	7.77669	24.101	9.2719	
12.621	6.00926	29.4567	8.60962	
10.0968	7.06972	35.3481	6.29165	
7.5726	5.65577	30.5279	8.27848	
8.83469	3.18137	36.9548	6.29165	
14.1355	1.76743	41.775	6.95392	
10.6016	6.71623	23.0298	12.9144	
8.32985	2.4744	29.1889	8.94076	
8.58227	3.53486	37.2226	7.6162	
10.3492	5.30229	39.9005	8.27848	
5.0484	10.9581	35.6159	9.60304	
13.6307	4.9488	27.0466	9.60304	
10.6016	2.12091	33.2058	7.94734	
8.32985	4.59531	36.4192	8.27848	
12.3686	8.48366	34.2769	11.921	
13.6307	1.76743	31.8668	5.29823	
13.1258	6.36274	32.938	5.29823	
5.30082	5.30229	31.599	12.9144	
10.8541	2.12091	28.6534	12.9144	
9.08711	2.82789	31.599	4.30481	
9.33953	3.53486	36.1514	8.27848	
11.1065	7.4232	44.1851	9.60304	
10.6016	1.41394	35.0803	7.94734	
9.33953	9.19063	37.4904	7.94734	
8.32985	4.59531	36.1514	7.28506	
8.83469	6.36274	29.9923	16.2258	
9.33953	4.59531	23.0298	6.95392	
8.32985	2.12091	42.0428	5.62937	
12.621	1.41394	43.9173	7.94734	
11.8637	4.24183	40.7038	5.62937	
10.8541	1.76743	29.7245	8.94076	
11.3589	6.00926	49.5409	13.5767	
7.06776	3.53486	25.1721	7.28506	
9.08711	4.24183	33.7413	10.9276	
6.81534	3.88834	37.7582	8.60962	
10.8541	7.06972	29.1889	7.6162	
5.80566	4.59531	33.7413	5.62937	
9.08711	3.88834	27.0466	7.28506	
9.08711	4.59531	35.6159	9.2719	
7.06776	4.9488	37.2226	11.5899	
5.55324	3.18137	33.7413	12.5833	
12.8734	4.24183	29.7245	7.94734	
6.81534	8.13017	34.5447	10.9276	
10.0968	2.82789	36.1514	5.62937	
10.3492	3.18137	34.8125	6.62279	
15.3976	3.53486	42.0428	5.29823	
10.8541	5.30229	39.9005	9.2719	
7.5726	2.4744	40.9716	6.29165	
12.8734	6.00926	46.3274	13.9078	
8.32985	7.06972	32.1346	8.27848	
