thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
9.72414	2.77778	33.3043	10.1818	
4.34483	5.77778	33.8261	10.4545	
9.44828	1.22222	37.5217	8.45455	
9.10345	10.1111	38.6957	8.18182	
8.86207	9.33333	44.3478	10	
10.1034	1.22222	16.0435	14.0909	
9.10345	10.3333	32.6087	5.36364	
12.1724	2.77778	26.087	5.72727	
5.51724	4.44444	41.4783	11.2727	
11.4138	11.7778	40.1304	8.36364	
7.93103	3.11111	26.7826	11.4545	
14.8966	3.77778	38.6087	5.63636	
5.68966	5.88889	43.0435	2.63636	
7.86207	2.66667	29.3043	9.90909	
2.65517	3.55556	35.3043	5.36364	
14.5517	4.33333	32	7.36364	
11.069	4	26.6087	4.72727	
4.27586	3.33333	47.5217	9	
12.1379	3.44444	32	11.1818	
12.4828	2.66667	33.6087	7.81818	
11	7.33333	44.3043	12.2727	
4.10345	1.55556	41.5652	6.72727	
9.7931	3	35.4783	4.63636	
9	8.77778	35.7826	7.36364	
11.3793	10.6667	38.1304	11.8182	
6.10345	2.77778	34	9.63636	
11.6897	3.77778	50.7391	12.3636	
3.68966	4.77778	45.913	6	
9.7931	6.33333	32.087	10.6364	
8.86207	11.3333	25.7826	12	
5.2069	7	27.087	10.1818	
6.51724	4	30.6957	10	
5.10345	4.77778	38.7826	11.8182	
13.1724	4.66667	54	11.9091	
12.069	2.44444	36.4783	7.09091	
12.4483	1.55556	30.2174	8.90909	
8.48276	1.66667	37.3478	8.54545	
6.7931	5.77778	23.8696	6.45455	
3.44828	0.444444	46.7826	6.27273	
16.2069	10.8889	28.2174	8.63636	
9.2069	6.77778	23.2609	8.45455	
6.62069	1.11111	45.9565	4.63636	
9.06897	4.33333	32.8696	8.09091	
11.6552	3.11111	32.9565	7.90909	
8.89655	4.44444	37.6087	8.72727	
9	2.88889	35.3913	3.27273	
10.6897	5.11111	22.7826	6	
7.51724	8.11111	46	9.81818	
10.7586	3.77778	29.2609	8.45455	
5.41379	11.3333	51.5652	7.72727	
4	5.22222	40.4783	10.0909	
5.31034	2.33333	46.1304	6.72727	
10.2759	1.33333	40.0435	7.27273	
6.68966	5.22222	60.913	7.36364	
8.41379	5	49.4348	6.90909	
13.5172	11.2222	46.6087	7.81818	
5.48276	5.33333	36.6522	9.45455	
11.7931	2	36.087	11	
11.8966	4.44444	41.5217	8.27273	
8.89655	20.7778	45.6087	8.54545	
7.7931	9.55556	42.8696	8.72727	
11.6207	5.77778	45.6087	5.72727	
17.4828	3.11111	30.7826	6.90909	
13.6897	7.55556	39.1739	9.90909	
24	2.88889	33.4348	5.90909	
14.2414	4.55556	40	4.54545	
9.65517	1.77778	29.6522	11	
15.1034	9	17.2174	8.90909	
9.03448	7.33333	28.2609	6.27273	
14	4.77778	37.7391	6.54545	
5.24138	3.55556	25.1304	8	
7	2.66667	38.087	5.09091	
11.8966	0.888889	43.1304	8.18182	
8.51724	7.11111	14.913	14.1818	
9.86207	2.44444	32.6522	7.54545	
8.55172	1.55556	35.5217	4.45455	
14.931	4.66667	42.3043	8.09091	
2.34483	12.5556	35.6957	9.81818	
16.3103	5.66667	28.1304	10.7273	
9.06897	1.55556	29.5652	9.45455	
9.41379	3.66667	36.2609	6.63636	
11.1724	8.44444	30.1739	11.4545	
19.3103	1.55556	30	4.54545	
14.1379	5.44444	25.7391	6	
2.89655	6.33333	30.5652	10.9091	
7.2069	1.33333	20.1304	11.3636	
12.7931	1.77778	29.913	4.45455	
14.4138	3.55556	36.7391	9	
11.069	8.66667	40.5217	6.90909	
12.3448	0.777778	28.8696	7.36364	
9.68966	9.44444	33.2609	7.09091	
8.31034	3.77778	26	5.63636	
7.34483	8.55556	30.087	21.6364	
8.2069	6.11111	20.4783	5.81818	
10.7586	1.88889	43.9565	4.09091	
14	0.666667	52.3913	8.54545	
13.8621	2.66667	39.6957	4.09091	
5.41379	2.55556	34.4783	7.36364	
11.4483	6.33333	38.5217	12.3636	
6.68966	2.44444	23.087	7.63636	
7.51724	3.11111	28.8696	13.5455	
8.51724	4	30.3478	5.90909	
8.34483	5.88889	28.1739	5.63636	
6.82759	5.11111	30.1304	5.36364	
12.069	5	31.087	6.81818	
7.34483	7	40.3043	8.72727	
5.93103	7	42.8696	13.3636	
4.62069	2.88889	28.4783	10.9091	
14.2069	3.88889	29.3478	6.09091	
5.55172	7.22222	36.2174	13.4545	
5.93103	3.44444	38.3043	6.09091	
6.34483	3.88889	42.5652	6.36364	
13.0345	3.88889	38	5.72727	
10.2414	7.44444	40.3478	8.72727	
6.24138	2.55556	43.6957	5.27273	
15	6.88889	48.913	14.8182	
9.31034	7.33333	24	9.81818	
8.93103	3.33333	40.1304	5.27273	
11.7586	5	34.6087	7.09091	
6.31034	4.88889	45.8261	9.36364	
11.2414	2.22222	32.3043	4.09091	
16.6207	4.55556	30.8261	9.09091	
6.72414	6.11111	24.7826	11.2727	
13.5172	5.66667	41.5652	10.2727	
11.7241	2.44444	30.2609	6.09091	
8.03448	2.44444	35.7391	10.3636	
13.2069	1.77778	19.2609	9.72727	
12.6552	3.33333	52.6957	9.18182	
18.8621	4.22222	50.8261	5.36364	
5.72414	14.8889	34.8696	7.81818	
9.75862	2.44444	39.4783	10.3636	
6.17241	3.88889	37.0435	6.54545	
9.96552	10.1111	31.4783	7.45455	
7.31034	7.66667	36.3913	7.18182	
5.68966	4.55556	33.2609	5.45455	
6.06897	10.3333	36.7391	6	
4.62069	5.11111	17.8696	7.45455	
6.75862	8	26.2174	11.0909	
11.5517	9.88889	41.5652	11.0909	
12.931	4.55556	25	10.9091	
11.5172	4.88889	36.5652	9.72727	
11.931	4.66667	39.6087	10.9091	
7.75862	9.11111	20.7826	12.6364	
11.4138	4.44444	37.5217	12.5455	
8.2069	6.77778	29.2609	6.63636	
6.96552	1.66667	32.7391	4	
5.2069	2.88889	38	8.36364	
6.65517	1.66667	42.0435	9.54545	
14.7931	7.88889	48.8696	6	
9.24138	1.77778	21.6957	7	
