Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-13.6122	-1.7832	-4.24053	-4.81589	-2.77259	-1.7832	-4.24053	-4.81589	-2.77259	
-13.6122	-1.7832	-4.24053	-4.81589	-2.77259	-1.7832	-4.24053	-4.81589	-2.77259	
-13.6122	-1.7832	-4.24053	-4.81589	-2.77259	-1.7832	-4.24053	-4.81589	-2.77259	
-12.2136	-1.88322	-3.54391	-3.93223	-2.85423	-1.88322	-3.54391	-3.93223	-2.85423	
-12.452	-1.59702	-4.08044	-4.08044	-2.69415	-1.59702	-4.08044	-4.08044	-2.69415	
-12.452	-1.59702	-4.08044	-4.08044	-2.69415	-1.59702	-4.08044	-4.08044	-2.69415	
-12.452	-1.59702	-4.08044	-4.08044	-2.69415	-1.59702	-4.08044	-4.08044	-2.69415	
-12.452	-1.59702	-4.08044	-4.08044	-2.69415	-1.59702	-4.08044	-4.08044	-2.69415	
-12.452	-1.59702	-4.08044	-4.08044	-2.69415	-1.59702	-4.08044	-4.08044	-2.69415	
-15.8958	-1.93517	-5.62682	-5.99146	-2.34237	-1.93517	-5.62682	-5.99146	-2.34237	
-15.8958	-1.93517	-5.62682	-5.99146	-2.34237	-1.93517	-5.62682	-5.99146	-2.34237	
-14.415	-1.93517	-4.08044	-4.60517	-3.79424	-1.93517	-4.08044	-4.60517	-3.79424	
-14.415	-1.93517	-4.08044	-4.60517	-3.79424	-1.93517	-4.08044	-4.60517	-3.79424	
-14.7339	-1.88322	-3.79424	-4.81589	-4.24053	-1.88322	-3.79424	-4.81589	-4.24053	
-14.7339	-1.88322	-3.79424	-4.81589	-4.24053	-1.88322	-3.79424	-4.81589	-4.24053	
-15.9312	-2.34237	-3.93223	-4.60517	-5.05146	-2.34237	-3.93223	-4.60517	-5.05146	
-15.9312	-2.34237	-3.93223	-4.60517	-5.05146	-2.34237	-3.93223	-4.60517	-5.05146	
-15.9312	-2.34237	-3.93223	-4.60517	-5.05146	-2.34237	-3.93223	-4.60517	-5.05146	
-14.8352	-1.88322	-3.02826	-3.93223	-5.99146	-1.88322	-3.02826	-3.93223	-5.99146	
-14.8352	-1.88322	-3.02826	-3.93223	-5.99146	-1.88322	-3.02826	-3.93223	-5.99146	
-14.8352	-1.88322	-3.02826	-3.93223	-5.99146	-1.88322	-3.02826	-3.93223	-5.99146	
-17.2855	-2.09964	-3.93223	-5.62682	-5.62682	-2.09964	-3.93223	-5.62682	-5.62682	
-17.2855	-2.09964	-3.93223	-5.62682	-5.62682	-2.09964	-3.93223	-5.62682	-5.62682	
-19.0721	-1.93517	-7.82405	-5.99146	-3.32146	-1.93517	-7.82405	-5.99146	-3.32146	
-19.1283	-1.88322	-3.4296	-4.60517	-9.21034	-1.88322	-3.4296	-4.60517	-9.21034	
-16.0924	-1.64196	-4.08044	-5.31852	-5.05146	-1.64196	-4.08044	-5.31852	-5.05146	
