ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.132993	10.8582	9.8	0	
0.207044	26.2185	28.22	9	
0.333592	1.32417	1.49333	0	
0.249111	7.945	9.60667	0	
0.350557	9.26917	13.2333	1	
0.210274	6.88567	7.66	3	
0.488408	22.7757	26.2	0	
0.0803968	3.44283	2.58667	0	
0.146497	5.5615	5.02	0	
0.38178	19.8625	25.94	0	
0.139991	17.7438	13.4533	1	
0.202278	11.6527	12.2733	3	
0.133465	6.09117	6.02	3	
0.234326	30.7207	32.4533	0	
0.190436	19.068	15.9333	1	
0.17387	19.068	12.76	1	
0.282069	13.5065	7.39333	3	
0.572818	5.82634	2.04667	0	
0.511392	16.9493	21.42	2	
0.303637	19.8625	23.46	5	
0.500868	0.7945	0.24	0	
0.223714	19.068	16.7133	1	
0.147742	7.68017	8.54667	0	
0.209952	21.4515	23.34	0	
0.187727	10.8582	12.4667	2	
0.11954	11.6527	10.3467	3	
0.167088	8.20984	5.60667	1	
0.157543	1.85383	1.41333	0	
0.398571	31.2503	28.16	0	
0.203488	11.3878	5.68	0	
0.509478	36.2822	50.1533	2	
0.14573	9.26917	8.42	2	
0.144142	8.20984	8.33333	0	
0.149541	15.0955	16.4933	4	
0.0753642	5.03184	4.88667	1	
0.40897	32.3097	43.04	3	
0.256901	17.7438	13.4467	0	
0.242891	16.1548	17.8	0	
0.173549	5.03184	6.85333	2	
0.209378	10.5933	6.24	2	
0.153213	7.68017	7.57333	0	
0.221078	16.9493	16.7067	7	
0.32272	8.7395	11.1667	0	
0.343823	21.4515	22.66	5	
0.136253	15.3603	13.2733	0	
0.452956	4.767	6.86667	0	
0.456551	16.4197	23.5133	1	
0.345666	6.88567	8.34	1	
0.239597	7.1505	6.70667	1	
0.254803	18.5383	16.32	3	
0.346213	12.712	17.08	0	
0.144767	13.2417	11.24	0	
