Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.57193	0.481536	0.647406	0.438318	
0.591772	0.58013	0.521386	0.380677	
0.61571	0.488963	0.527977	0.539384	
0.561398	0.540612	0.572569	0.357737	
0.6425	0.471351	0.533374	0.399926	
0.694293	0.454001	0.384752	0.330942	
0.610555	0.348781	0.620347	0.251367	
0.674817	0.531776	0.684212	0.409167	
0.883341	0.611073	0.576483	0.31589	
0.837334	0.300716	0.529885	0.479059	
0.883958	0.378555	0.586504	0.315831	
0.490364	0.427899	0.441908	0.483984	
0.984023	0.392692	0.470925	0.306769	
0.627113	0.740548	0.504642	0.422674	
0.787726	0.368447	0.524511	0.347783	
0.663234	0.469692	0.481873	0.488281	
0.603302	0.55855	0.469271	0.382342	
0.634409	0.314473	0.441036	0.39325	
0.554937	0.477578	0.581756	0.331079	
0.768404	0.590201	0.509355	0.377665	
0.868705	0.308168	0.549897	0.361947	
0.5437	0.535218	0.453182	0.356887	
0.644475	0.645224	0.490823	0.361439	
0.592945	0.460279	0.52493	0.517186	
0.772216	0.531986	0.498987	0.349454	
